,clusterId,obsId,trailId,r,drdt,cluster_epoch,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,var_pos,var_vel,cluster_Id
121,8378,"[  420   818  1427  2270  3718  4319  5294  7290  8211  9113  9386  9746
 10544 11260 11878 12078]",-1,2.4000000000000004,-0.005,59862.067572826316,2.2450296219853354,-0.7974248308508485,0.28919055976231317,0.0004615388302248487,0.01611364064002983,-0.0006755910110224927,4.218987042525323e-07,2.1496972297123863e-08,121
122,57680,"[  425   950  1473  2269  2994  3940  4573  5199  6087  6146  6808  7132
  8438  9086 10577 11796 12076]",-1,3.4000000000000012,0.002,59862.067572826316,3.017051984656106,-1.497545336604272,0.46365383353576217,0.00532089368133945,0.00668785524481343,0.0017536138062291585,3.318619123334108e-08,1.0551518553264213e-09,122
123,71742,"[  425   950  2994  3940  4573  5199  6087  6146  6808  7132  8438  9086
 10577 11796 12076]",-1,3.6000000000000014,0.002,59862.067572826316,3.170522258089943,-1.6308079780913143,0.49838558405548955,0.005373710250559278,0.0065426424949085495,0.0017235274279930786,1.858858366555412e-08,2.6741688730550396e-09,123
124,45183,"[  427   990  1478  2098  3123  3942  4324  5198  5861  6160  6747  7128
  8440  9150 10585 11267 11927 12406]",-1,3.200000000000001,0.002,59862.067572826316,2.864038147740356,-1.3597423933110744,0.4342535156376662,0.005704099286070887,0.007034185274641539,-0.0007906807944898236,3.143376085082284e-08,2.1957073015287324e-09,124
125,57701,"[  427   990  1478  2098  3123  3942  4324  5198  6747  7128  8440  9150
 10585 11267 11927 12406]",-1,3.4000000000000012,0.002,59862.067572826316,3.0182431444432094,-1.4933062494794997,0.4695992595533234,0.0058208913421962825,0.006868685743305274,-0.0010147578250034228,2.4991331111324976e-08,2.835001831001961e-09,125
126,45178,"[  431  1188  1763  1918  3280  3763  4437  4661  5342  7399  8228  8842
 10133 10703 11354 11813 12136]",-1,3.200000000000001,0.002,59862.067572826316,2.875103479072337,-1.3442962445999018,0.4083762673296525,0.005285213125149457,0.00660085755423717,0.00022284934253744565,7.790342285089402e-09,5.02519660726155e-10,126
127,45162,"[  435   819  2063  4376  4774  5122  6986  7388  7805  8295  9093 10026
 11593]",-1,3.200000000000001,0.002,59862.067572826316,2.8658570293982315,-1.366012878061084,0.4011143769976455,0.005063381123550756,0.006345163388721782,0.0013674131381300394,5.1687203031481485e-09,9.032610012738488e-10,127
128,42630,"[  436  1433  1804  2850  2987  3666  4006  4674  5223  5323  9215  9363
  9435 10247 10848 11535 11656 12121]",-1,3.200000000000001,-0.002,59862.067572826316,2.885169882192509,-1.317817024278538,0.42315275426889054,0.0029737395429046396,0.010695155424137152,-0.0021134948556917775,4.3695559410225744e-08,5.553721273758649e-09,128
129,83306,"[  436  1433  2850  2987  3666  4006  4674  5223  5323  9215  9363  9435
 10247 10848 11535]",-1,3.8000000000000016,-0.001,59862.067572826316,3.353269680363587,-1.7083485501958016,0.5265194139257385,0.004271046776540338,0.009761154691993764,-0.002754573777352522,1.8018731130528858e-07,5.03770662286433e-08,129
130,15667,"[  444   666  1102  1259  1500  2252  2429  2615  3295  4131  4956  5407
  7076  7571  8392  9198 10372 10983 11968 12515]",-1,2.6000000000000005,-0.002,59862.067572826316,2.4077269054645556,-0.9433105658468387,0.2716095218684058,0.0028070605999221095,0.013200674283323862,0.0022573495035101017,5.078705793439728e-07,3.229379646911624e-08,130
131,24245,"[  446   939  1441  2352  2892  3372  3865  4163  4936  5590  5915  6138
  7409  7825  8446  9023  9883 10509 10999]",-1,2.8000000000000007,0.001,59862.067572826316,2.559663855328307,-1.0919599338069406,0.30946843410897634,0.004679531774830391,0.008441898797258793,0.0001577848711312852,1.1641568704344175e-08,6.585366645822083e-10,131
132,8783,"[  447  1120  1210  1424  2013  2461  2597  3410  4853  5584  6589  7619
  8207  8888  9586 10485 10950]",-1,2.4000000000000004,-0.004,59862.067572826316,2.247084499586633,-0.8110131761454166,0.2276545289182832,0.0010637986785304251,0.014730280678441914,-0.0008286022180166188,2.1210965823290395e-07,8.209217937571955e-09,132
133,36136,"[  450   975  1393  2130  2959  3870  4278  5138  7072  8424  9127 10143
 10926 11572]",-1,3.000000000000001,0.004,59862.067572826316,2.715499113410481,-1.2147110947897237,0.3885538590069865,0.0069602049661083186,0.005621835648565075,-4.273199598479568e-05,1.6075077701414843e-07,1.1836064478206704e-08,133
134,43284,"[  456   622  1749  2128  3357  4233  4931  5495  6560  7365  7621  9339
  9835 10461 11029]",-1,3.200000000000001,-0.001,59862.067572826316,2.8736570104733072,-1.3606103018432323,0.361427061659748,0.003197041730050382,0.008893297379806238,-0.0008347419500216341,2.132305991346923e-08,3.126444650475838e-09,134
135,68798,"[  456   622  1749  2128  3357  4931  5495  6560  7365  7621  9339  9835
 10461 11029]",-1,3.6000000000000014,-0.001,59862.067572826316,3.1833760919398104,-1.6276789456352632,0.4201914302756497,0.0034097348015222446,0.008580207289610172,-0.0011706072495007097,2.437915587917168e-07,1.5088030335246924e-08,135
136,42553,"[  458  1119  1523  1881  2974  4074  4608  4882  5125  5588  6049  6191
  6982  7291  8291  9349 10213]",-1,3.200000000000001,-0.002,59862.067572826316,2.8643207103405,-1.3695291243704506,0.3999179096248772,0.0029512144769520666,0.010227013955691476,-0.0022416461824545327,7.010686026221521e-08,3.2787787852309484e-09,136
137,9196,"[  461  1278  1771  2260  2413  2764  3435  3602  4082  5069  5559  6030
  6421  6614  7558  8988  9774 10352 11044]",-1,2.4000000000000004,-0.003,59862.067572826316,2.2437133003830914,-0.822070882450466,0.22393141027502164,0.0024729469303098398,0.015311485814362128,-0.0004825129880290371,4.481637374815789e-07,1.8063660837408214e-08,137
138,9254,"[  469   914  1534  2153  2882  3458  4194  4335  4550  4663  4960  5181
  5331  5518  7257  8279  8997 10477 10657 11082 11234 11964 12427]",-1,2.4000000000000004,-0.003,59862.067572826316,2.2467385469509122,-0.8023292782410137,0.2610461768095113,0.0014288842396870283,0.01242209960003173,-0.001999042149826325,6.645494078192378e-07,2.877749748303936e-08,138
139,44367,"[  481   829  1371  2302  3107  3771  4330  5224  7322  8265  8574  9695
 12998 13819]",-1,3.200000000000001,0.001,59862.067572826316,2.869836728612141,-1.3528795695328872,0.4169902811196833,0.004842275298715326,0.0071828616234294535,-0.0023292639415280103,7.356566289238594e-08,1.511377663768511e-09,139
